time,founder,unselected,contact_FDC,FDC_selected,contact_TC,TC_Selected_by_TC,recycled,apoptosis,affinity,std_affinity,CC_IDs,CB,CC,Pr,Apoptotic
76.000000,740.000000,55.000000,0.000000,0.000000,0.000000,2.000000,3.000000,841.000000,3.840858127053294E-05,0.0004958693335835135,Prueba,743,57,Pr,841
77.000000,736.000000,69.000000,0.000000,0.000000,0.000000,1.000000,4.000000,829.000000,9.298955521804731E-05,0.002284883111257616,Prueba,740,70,Pr,829
78.000000,744.000000,67.000000,0.000000,0.000000,0.000000,0.000000,6.000000,827.000000,9.098875521070184E-05,0.002280681373594907,Prueba,750,67,Pr,827
79.000000,729.000000,86.000000,0.000000,0.000000,0.000000,0.000000,6.000000,833.000000,9.262941840562611E-05,0.002275098478892598,Prueba,735,86,Pr,833
80.000000,730.000000,52.000000,0.000000,0.000000,0.000000,0.000000,6.000000,854.000000,9.355836000034769E-05,0.002283382086995047,Prueba,736,52,Pr,854
81.000000,737.000000,57.000000,0.000000,0.000000,0.000000,0.000000,6.000000,836.000000,9.249775297358934E-05,0.002287231462233771,Prueba,743,57,Pr,836
82.000000,728.000000,69.000000,0.000000,0.000000,0.000000,0.000000,6.000000,822.000000,0.0001034962136966357,0.002330866007730159,Prueba,734,69,Pr,822
83.000000,738.000000,45.000000,0.000000,0.000000,0.000000,0.000000,6.000000,803.000000,6.817100103832669E-05,0.0009903257371722163,Prueba,744,45,Pr,803
84.000000,746.000000,70.000000,0.000000,1.000000,0.000000,0.000000,6.000000,782.000000,6.75377188603367E-05,0.0009863176578545356,Prueba,752,71,Pr,782
85.000000,762.000000,63.000000,0.000000,0.000000,0.000000,1.000000,6.000000,780.000000,9.554595954946336E-05,0.001537585116728498,Prueba,768,64,Pr,780
86.000000,752.000000,73.000000,0.000000,0.000000,0.000000,1.000000,6.000000,789.000000,9.532671012082953E-05,0.001533342599815171,Prueba,758,74,Pr,789
87.000000,762.000000,56.000000,0.000000,0.000000,0.000000,1.000000,6.000000,807.000000,9.486693998537049E-05,0.001528187318196284,Prueba,768,57,Pr,807
88.000000,756.000000,59.000000,0.000000,0.000000,0.000000,1.000000,6.000000,801.000000,9.530779924931011E-05,0.001532381455047134,Prueba,762,60,Pr,801
89.000000,779.000000,60.000000,0.000000,0.000000,0.000000,1.000000,6.000000,798.000000,9.32274154271116E-05,0.001521779552576511,Prueba,785,61,Pr,798
